Player,Season,Age,Team,Comp,Nation,(+/-) / 90,MP,Min,90s played,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,Pkatt,PKm,PPM,onG,onGA,Recov/90,Min.y,Off,PKwon,PKcon,OG,Tkl/90,Tkl Won,Tkls in Def 3rd,Tkls in Mid 3rd,Tkls in Att 3rd,Tkl,Tkl Att,Tkl%,Lost,Blocks,Shots Blocked,Pass Blocked,Int,Tkl+Int,Clearances,Errors leading to shoot,Carries/90,TotDist Carried,PrgDist Carried,PrgC,Carries into final third,Carreis into 18yd,Succesful Received Passes,Progressive Passes Received,PassesCmp/90,Passes Attempted,Passes Cmp%,Key Passes,Key Passes Close to Goal,Passes into 18yd,CrsPA,Prg Passes,TotDist Passed,PrgDist Passed,Short Passes Cmp,Short Passes Att,Short Passes Cmp%,Medium Passes Cmp,Medium Passes Att,Medium Passes Cmp%,Long Passes Cmp,Long Passes Att,Long Passes Cmp%,Touches/90,Touches in Def Pen,Touches in Def 3rd,Touches in Mid 3rd,Touches Att 3rd,Touches in Att Pen,Live ball Touches,xG when on/90,xGA when on,xG+/-,MarketValue_2022,MarketValue in Millions,predicted_value,Residual,Def_score_raw,Prog_score_raw,Onball_score_raw,Creat_score_raw,Def_score,Prog_score,Onball_score,Creat_score,Def_pct,Prog_pct,Onball_pct,Creat_pct
Andreas Pereira,2022-2023,26,Fulham,eng Premier League,br BRA,0.1,33,2692,29.9,33,0,0,0.1,0.2,0.3,0.1,0,0,0,0,1.4,1.3,3.9,2692,0.1,0,0,0,0.6,0.3,0.1,0.2,0.3,0.3,1.1,23.5,0.9,0.7,0.1,0.6,0.2,0.8,0.3,0,24.1,132.1,55.6,1.8,1.5,0.3,28.5,4.4,23.4,35.7,65.6,2,2.9,0.7,0.3,4,437.2,141.6,11.2,14,80.2,7.7,10.5,72.7,3.9,8.4,46.2,43.9,0.5,3.5,20.3,20.5,2.2,43.8,1.2,1.5,-0.3,13000000,13,21.453233508782453,-8.453233508782453,4.7,5.8,89,3.2,-1.4449157612841204,-0.1689846256385142,-1.0906198490834278,0.821865958494144,0.0814081408140814,0.46314631463146316,0.1342134213421342,0.8030803080308031
Arber Zeneli,2022-2023,27,Reims,fr Ligue 1,xk KVX,0.5,23,1000,11.1,12,11,14,0,0.2,0.2,0,0,0,0,0.1,1.1,0.6,5.2,1000,0.3,0.1,0,0,0.8,0.3,0.3,0.3,0.3,0.5,1.1,41.7,0.6,0.7,0,0.7,0.2,1,0.2,0,38.7,282.3,121.3,4.1,2.5,2.6,35.8,10.6,27.2,38.7,70.2,2,2.2,1.7,0.1,4.6,404.7,136.3,16.2,19.7,82.2,8.1,11.7,69.2,1.7,4.4,38.8,54.2,0.6,5,19.8,30.5,5,54.2,1.5,1.4,0.2,4000000,4,-0.41235193165568695,4.412351931655687,6.2,8.7,97.4,3.5,-0.8151067134642123,1.1368731402766787,-0.6713742807458001,1.1849232508386442,0.21342134213421343,0.8690869086908691,0.2629262926292629,0.8767876787678768
Cengiz Ünder,2022-2023,25,Marseille,fr Ligue 1,tr TUR,0.9,37,2490,27.7,28,9,1,0.2,0.1,0.3,0.1,0,0,0,0.1,1.8,1,4.8,2490,0.3,0,0,0,1.3,0.7,0.5,0.5,0.3,0.5,1.2,38.2,0.8,0.7,0.1,0.6,0.7,2,0.5,0,38.7,233.7,90.1,2.5,1.7,1.1,35.6,9.5,28.1,40.3,69.8,2,2.6,1.8,0.7,4.2,478.7,154.3,14.6,17.5,83.7,9.2,13.2,69.7,3.2,6.6,48.9,52,0.7,5,19.1,28.6,4.7,52,1.7,1,0.7,17000000,17,19.609933989348757,-2.6099339893487574,6.8,6.7,97.9,3.7,-0.5631830943362491,0.2362815775765459,-0.6464191873923698,1.426961445734978,0.28052805280528054,0.6292629262926293,0.2739273927392739,0.9108910891089109
Dejan Kulusevski,2022-2023,22,Tottenham,eng Premier League,se SWE,0.1,30,2067,23,23,7,0,0.1,0.3,0.4,0.1,0,0,0,0.1,1.8,1.7,6.3,2067,0.1,0,0,0,1.7,0.7,1,0.3,0.3,0.7,1.9,36.4,1.2,0.8,0,0.8,0.6,2.2,0.3,0,29.5,213.6,109.4,3.8,2,2.1,31,8.5,25.3,32.5,78,2,0.6,1.7,0.5,2.9,353.6,87.3,15.5,17.9,86.6,7.8,9.8,79.2,1.1,2.2,49,45.6,1.1,6.8,17.2,23,4.7,45.6,1.4,1.3,0.1,50000000,50,42.502027193669875,7.497972806330125,8.5,6.699999999999999,103.3,3.4,0.15060049319298016,0.2362815775765455,-0.37690417917532404,1.0639041533904772,0.5544554455445545,0.6215621562156216,0.36083608360836084,0.8514851485148515
Diego López,2022-2023,20,Valencia,es La Liga,es ESP,0,10,447,5,5,5,0,0.6,0.2,0.8,0.6,0,0,0,0.3,1.2,1.2,5.8,447,0.2,0,0,0,0.4,0.4,0.2,0.2,0,0.4,3,13.3,2.6,1.8,0,1.8,0.6,1,1,0,27.2,224.1,120.4,4.2,1.8,1,29.4,9.3,20.3,30.4,66.9,2,1.4,2.2,0.8,3.4,312.7,99.9,11.3,14.7,76.7,6,9.3,65.2,1.8,2.8,64.3,43.3,0.8,7.4,15.7,20.9,5.4,43.3,1.7,0.7,1,50000,0.05,8.560346396573305,-8.510346396573304,6.8,7.6,87.2,3.7,-0.5631830943362491,0.6415477807916056,-1.1804581851557765,1.426961445734978,0.28052805280528054,0.7524752475247525,0.10891089108910891,0.9108910891089109
Enzo Le Fée,2022-2023,22,Lorient,fr Ligue 1,fr FRA,0.1,35,3028,33.6,35,0,0,0.1,0.2,0.3,0.1,0,0,0,0,1.5,1.4,7.1,3028,0.1,0,0,0,3.2,1.9,1.5,1.2,0.5,1.3,3.4,38.1,2.1,1.5,0.1,1.3,1,4.2,1.1,0,58.6,360.1,160.9,2.9,2.7,0.4,53.4,3.1,50.8,63,80.6,2,5.1,1.1,0.1,6.5,856.2,273.1,23,25.8,89.1,19.2,23.1,83,5.5,9.1,59.9,77.6,2.6,16.6,42.3,20.1,1,77.6,1.2,1.5,-0.3,12000000,12,15.739428129178174,-3.739428129178174,11.3,9.4,131.39999999999998,3.2,1.3262440491234757,1.4520801872217257,1.0255720672874526,0.821865958494144,0.8976897689768977,0.9163916391639164,0.8503850385038504,0.8030803080308031
Hamza Sakhi,2022-2023,26,Auxerre,fr Ligue 1,fr FRA,-1.3,27,1658,18.4,18,9,7,0.1,0.1,0.2,0.1,0,0,0,0,0.9,2.2,5.8,1658,0.3,0,0,0,2.4,1.2,1.2,0.9,0.3,1.2,2.3,52.4,1.1,0.9,0.1,0.8,1.4,3.7,0.5,0,45.3,272.7,114.5,2.3,2,0.2,42.3,4.1,41,51.4,79.8,2,5.5,1.2,0.4,7.3,810.8,245.2,15.3,17.2,88.9,16.1,19.1,84.3,7.7,11.7,65.3,60.4,1.1,9.3,33.3,18.6,1.5,60.4,1.2,1.4,-0.2,2000000,2,4.804122447169185,-2.804122447169185,9.5,9.6,120.8,3.2,0.57047319173958555,1.5421393434917388,0.4965240881947333,0.821865958494144,0.7051705170517052,0.9273927392739274,0.7106710671067107,0.8030803080308031
Isaac Palazón Camacho,2022-2023,27,Rayo Vallecano,es La Liga,es ESP,-0.2,37,2965,32.9,36,1,0,0.3,0.2,0.4,0.2,0,0.1,0.1,0,1.2,1.4,6.4,2965,0.3,0,0,0,1.4,0.9,0.3,0.7,0.3,0.7,2,36.4,1.3,1.3,0.1,1.2,0.5,1.9,0.9,0,33.7,178,64.8,1.5,2,0.3,37.5,5.5,29.7,41.8,71.1,2,2.5,1.4,0.3,3.9,506.1,145.1,14.9,17.1,87.4,10.3,13.6,76.1,3.4,8,42,55.5,1.2,5.9,22,28.4,2,55.5,1.1,1.2,-0.1,7500000,7.5,13.276243321166051,-5.776243321166051,8.3,5.4,100.8,3.1,0.06662595348365936,-0.3491029381785406,-0.501679645942475,0.7008468610459772,0.5247524752475248,0.40374037403740376,0.31353135313531355,0.7898789878987899
Ivan Perii?,2022-2023,33,Tottenham,eng Premier League,hr CRO,-0.2,34,2108,23.4,23,11,3,0,0.3,0.4,0,0,0,0,0.1,1.7,1.9,5,2108,0.3,0,0,0,1.8,1,1.1,0.4,0.3,1.2,2,57.4,0.9,1.2,0.3,0.9,0.9,2.7,2.1,0,26.1,158.1,88.6,3.7,1.2,1.5,31.3,7.7,30.4,47.9,63.6,2,1.2,1.5,1,2.6,536.5,152.6,15.2,18.9,80.6,10.6,16.6,64,3.9,9,43.3,58.5,3.1,15.2,18.9,24.9,4,58.5,1.5,1.5,0,10000000,10,35.64536865925413,-25.64536865925413,7.7,6.300000000000001,94,3.5,-0.18529766564430414,0.0561632650365195,-0.8410689155491258,1.1849232508386442,0.40704070407040704,0.5566556655665567,0.20572057205720573,0.8767876787678768
James Ward-Prowse,2022-2023,27,Southampton,eng Premier League,eng ENG,-1,38,3371,37.5,38,0,0,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0,1,1.9,5.9,3371,0,0,0,0,1.7,1,0.8,0.7,0.2,0.6,1.6,34.4,1.1,0.8,0.3,0.5,1.5,3.2,1.3,0,31.3,116.5,53.8,0.5,0.7,0,39,1.5,45.8,58.1,78.9,2,4.7,0.8,0.4,5,774.2,232.7,22.3,24.6,90.5,18.3,21.6,84.9,4.1,9.1,44.7,66.3,2.6,11.9,36.8,17.8,0.7,66.2,1,1.6,-0.6,35000000,35,25.497009602854494,9.502990397145506,9.100000000000001,5.5,124.7,3,0.402524112320944,-0.30407336004353414,0.6911738163514892,0.5798277635978102,0.6611661166116611,0.42244224422442245,0.759075907590759,0.746974697469747
Kevin Volland,2022-2023,30,Monaco,fr Ligue 1,de GER,0,17,639,7.1,7,10,5,0.4,0.3,0.7,0.4,0,0,0,0.2,1.7,1.7,3.8,639,1,0.1,0,0,1.1,0.6,0.1,0.7,0.3,0.3,1.1,25,0.8,1.1,0,1.1,0.3,1.4,0,0,29.6,145.1,38,0.8,0.8,0.7,30,8.5,15.8,28.2,56,2,2,1.1,0,4.4,242.1,101.7,9.2,14.4,63.7,4.2,7,60,1.4,2.8,50,37.6,0.3,2.1,17.2,18.7,5.2,37.6,1.6,1.4,0.2,16000000,16,5.013017082232331,10.98698291776767,5.199999999999999,5.2,71.8,3.6,-1.2349794120108182,-0.43916209444855403,-1.9490750604414273,1.305942348286811,0.11331133113311331,0.3564356435643564,0.014301430143014302,0.8998899889988999
Leandro Paredes,2022-2023,28,2 Teams,2 Comps,ar ARG,0.5,28,1029,11.4,8,20,5,0.1,0.1,0.2,0.1,0,0,0,0.4,1.7,1.1,6.7,1029,0,0,0.1,0,1.7,1.2,0.7,1,0.1,1,2,47.8,1,0.9,0.1,0.8,1.6,3.3,1.9,0,47,202,107.8,1,1.1,0.2,56.8,1,65.5,74.2,88.3,2,6.3,1.1,0.2,6.8,1228.7,458.1,26.2,27.8,94,29.8,31.8,93.7,8.4,12.6,66.7,82.5,3.8,19.8,48.2,14.8,0.3,82.5,1.7,1.4,0.3,15000000,15,10.068449740348374,4.931550259651626,10,7.8,153.8,3.7,0.7804095410128883,0.7316069370616191,2.1435602495211277,1.426961445734978,0.7678767876787679,0.7788778877887789,0.976897689768977,0.9108910891089109
Maxence Caqueret,2022-2023,22,Lyon,fr Ligue 1,fr FRA,0.4,36,2767,30.7,32,4,1,0.1,0.2,0.4,0.1,0,0,0,0.1,1.7,1.3,7,2767,0.1,0,0,0,2.8,1.8,0.9,1.2,0.7,1.4,3.5,39.4,2.1,1.5,0.1,1.4,1.3,4.1,0.9,0,53.7,275.4,113.3,1.5,2.6,0.4,49.2,3.7,48.1,58.1,82.9,2,6.4,0.9,0.3,6,778.7,240,23.6,26.9,87.6,19,21.2,89.6,3.6,6.1,59.3,70.3,2,10.8,38.9,21.3,2.4,70.3,1.5,1.4,0.1,25000000,25,24.868106662933247,0.131893337066753,11.1,7.5,131,3.5,1.242269509414154,0.5965182026565992,1.0056079926047097,1.1849232508386442,0.8822882288228823,0.7414741474147415,0.847084708470847,0.8767876787678768
Musa Barrow,2022-2023,23,Bologna,it Serie A,gm GAM,-0.2,32,1960,21.8,26,6,2,0.1,0.4,0.5,0.1,0,0,0,0.1,1.2,1.4,3.7,1960,0.2,0,0,0,1,0.2,0.5,0.3,0.2,0.4,0.6,57.1,0.3,1.1,0,1.1,0,1,0.3,0,30.6,198.7,90,3.1,2.7,0.9,36.3,6.5,26.8,37,72.3,2,2,1.3,0.6,2.7,439.9,106.9,14.6,16.3,90.1,8.4,11.4,73.9,2.7,6.2,44,48.9,0.2,5.6,20.8,23.1,2.1,48.9,1,1.4,-0.4,12000000,12,14.302701666555498,-2.302701666555498,4.7,5.800000000000001,99.1,3,-1.4449157612841204,-0.1689846256385138,-0.5865269633441379,0.5798277635978102,0.0814081408140814,0.47634763476347636,0.29262926292629265,0.746974697469747
Ola Solbakken,2022-2023,23,Roma,it Serie A,no NOR,0.5,14,502,5.6,7,7,6,0.2,0.4,0.5,0.2,0,0,0,0.3,1.3,0.7,3.8,502,0,0,0,0,0.4,0.4,0.2,0.2,0,0.4,1.3,28.6,0.9,0.4,0,0.4,0.4,0.7,1.4,0,24,109.9,39.4,0.9,2,1.3,28,6.3,20.1,28.5,70.4,2,1.3,0.7,0.2,2.5,317.3,65.3,11.1,13.8,80.5,7,8.8,79.6,1.3,3.6,35,40.7,1.4,5,16.9,19.5,3.6,40.7,1.2,0.7,0.5,3500000,3.5,11.432407727964842,-7.932407727964842,4.5,3.4,90.5,3.2,-1.5288903009934416,-1.249694500878674,-1.0157545690231373,0.821865958494144,0.06820682068206821,0.0858085808580858,0.15841584158415842,0.8030803080308031
Patrick Wimmer,2022-2023,21,Wolfsburg,de Bundesliga,at AUT,0.4,26,1648,18.3,23,3,0,0.2,0.4,0.7,0.2,0,0,0,0.1,1.9,1.4,5,1648,0.4,0.1,0,0,2.1,1.4,1,0.6,0.5,0.7,2.1,31.6,1.4,1.5,0.1,1.4,0.8,2.9,0.8,0,24.4,146.4,65.8,2.3,0.9,0.7,26.2,7.3,18.2,30,60.8,2,1.3,1.6,0.4,3.5,287.6,100.6,9.2,12.8,71.8,6.7,8.8,75.8,1.4,4.2,34.2,44.8,0.9,5.5,16.9,23.2,3.7,44.8,1.6,1.4,0.2,8000000,8,15.119438336218924,-7.1194383362189235,7.9,5.8,79,3.6,-0.10132312593498297,-0.1689846256385142,-1.589721716152032,1.305942348286811,0.44334433443344334,0.46314631463146316,0.045104510451045104,0.8998899889988999
Pedro Porro,2022-2023,22,Tottenham,eng Premier League,es ESP,-0.5,15,1131,12.6,13,2,2,0.2,0.2,0.5,0.2,0,0,0,0.1,1.6,2.1,6.8,1131,0.1,0,0,0,2,1.3,0.6,1.2,0.2,1.1,3.1,35.9,2,2,0.2,1.8,1.2,3.2,1.9,0.1,33.7,181.7,108.1,2.7,1.4,0.3,38.2,7.6,37,51.6,71.8,2,2.2,1.8,1.1,3.1,601,207.2,19.2,21.6,88.6,13.4,17.6,76,3.4,7.8,43.9,65,3.6,19.6,23.3,22.7,2,65,1.5,1.6,0,25000000,25,37.256979785906,-12.256979785905997,10,5.800000000000001,108.8,3.5,0.7804095410128883,-0.1689846256385138,-0.10239815228759173,1.1849232508386442,0.7678767876787679,0.47634763476347636,0.47744774477447743,0.8767876787678768
R?zvan Marin,2022-2023,26,Empoli,it Serie A,ro ROU,-0.5,33,2538,28.2,28,5,1,0.1,0.1,0.2,0.1,0,0,0,0,0.9,1.4,5.2,2538,0,0,0,0,1.6,0.8,0.8,0.7,0,0.7,1.4,47.5,0.7,1,0.4,0.6,0.5,2.1,1.2,0,37.3,193.6,90.8,1.2,1.5,0.1,41.3,1,44.7,56.5,79,2,4,1.1,0.2,4.2,826.4,291.8,19,20.4,93.4,17.4,20.8,83.6,6.6,12,55.3,64,2.7,15.2,34.4,15.1,0.6,64,1,1.5,-0.5,8000000,8,11.283650149499174,-3.2836501494991737,7.300000000000001,5.4,123.7,3,-0.35324674506294607,-0.3491029381785406,0.6412636296446288,0.5798277635978102,0.35313531353135313,0.40374037403740376,0.746974697469747,0.746974697469747
Remi Oudin,2022-2023,25,Lecce,it Serie A,fr FRA,-0.2,31,1321,14.7,12,19,3,0.2,0,0.2,0.2,0,0,0,0.1,0.8,1,6.1,1321,0.1,0,0,0,1.7,0.9,0.6,0.8,0.3,0.7,1.6,43.5,0.9,1.1,0.1,1,2,3.7,1.6,0,28.8,154.2,59.3,1.6,1.5,0.3,30.5,3.7,25.3,40.6,62.4,2,3.2,0.5,0.1,4.3,553.9,191.4,9,11.7,77.2,8.6,12.3,69.6,6.5,12.7,51.3,52.9,1.6,8.5,23.2,21.8,2.2,52.9,1.2,1,0.2,4000000,4,3.1704717826619326,0.8295282173380674,9.8,5.9,87.7,3.2,0.6964350013035675,-0.1239550475035073,-1.1555030918023463,0.821865958494144,0.7436743674367436,0.49064906490649063,0.11551155115511551,0.8030803080308031
Samu Castillejo,2022-2023,27,Valencia,es La Liga,es ESP,-0.1,25,1362,15.1,17,8,4,0.3,0,0.3,0.3,0,0,0,0.1,0.9,1,4.4,1362,0.5,0,0,0,1.4,0.8,0.5,0.6,0.3,0.5,2.6,20,2.1,1.4,0.1,1.3,0.6,2,0.1,0,37.1,216.6,112.4,3.6,2.7,0.7,39.9,7.6,31.3,41.1,76.2,2,3.2,1.4,0.4,5,508,142.6,16.6,18.8,88.4,10.5,13,80.7,2.9,5.9,48.9,55.5,0.1,5.4,22.8,27.9,3.2,55.5,1.2,0.9,0.3,8000000,8,10.039505347578626,-2.0395053475786256,6.4,8.6,107.5,3.2,-0.7311321737548911,1.0918435621416722,-0.16728139500651013,0.821865958494144,0.23212321232123212,0.8624862486248625,0.45324532453245325,0.8030803080308031
Sergi Darder,2022-2023,28,Espanyol,es La Liga,es ESP,-0.4,38,3320,36.9,38,0,0,0.2,0.1,0.2,0.2,0,0,0,0,1.4,1.7,5.6,3320,0.1,0,0,0,1.9,1,0.3,1.2,0.4,0.8,2,39.7,1.2,0.9,0.1,0.9,0.7,2.5,0.6,0,32.9,237.3,127.9,3,2.6,0.2,34.5,2,32,44.1,72.5,2,4.3,1.4,0.4,6.3,608.5,231.4,13.2,15.3,86.7,13.8,16.8,82.2,4.4,9.8,45,53.7,1.2,7.5,31,16.4,1.1,53.7,1.3,1.5,-0.2,14000000,14,16.027310663724048,-2.027310663724048,8.1,9.3,104.5,3.3,-0.017348586225662176,1.4070506090867194,-0.3170119551270914,0.9428850559423103,0.47634763476347636,0.9130913091309131,0.3927392739273927,0.8294829482948295
Tim Skarke,2022-2023,25,2 Teams,de Bundesliga,de GER,-0.9,12,493,5.5,6,6,4,0.2,0.2,0.4,0.2,0,0,0,0.2,0.9,1.8,5.5,493,0.5,0,0,0,2.6,1.5,0.5,1.5,0.5,1.5,2,72.7,0.5,1.1,0,1.1,0,2.6,0.7,0,24.1,121.9,42.2,1.3,1.8,0.4,25.7,6.6,21.2,33,64.1,2,1.3,0.7,0.7,2.4,335.7,101.7,9.5,13,73.2,8.8,12.6,69.6,1.6,3.8,42.9,47.8,0.9,5.3,17.3,25.4,2.7,47.8,1.4,1.7,-0.3,1000000,1,10.17158448976694,-9.17158448976694,8.1,3.7,85.3,3.4,-0.017348586225662176,-1.114605766473654,-1.2752875398988115,1.0639041533904772,0.47634763476347636,0.11551155115511551,0.09350935093509351,0.8514851485148515
Téji Savanier,2022-2023,30,Montpellier,fr Ligue 1,fr FRA,-0.3,30,2546,28.3,30,0,0,0.4,0.1,0.6,0.2,0.2,0.2,0,0,1.4,1.7,7.4,2546,0,0,0,0,1.6,1.1,0.6,0.7,0.4,0.8,2.5,32.9,1.7,1.1,0.1,1,1.1,2.7,0.4,0,52.8,300.5,125.4,1.7,2.2,0.1,48.7,4.1,41.9,59.9,69.9,2,6.1,1.7,0.4,7.2,800.3,304.8,18.7,22.3,84,12.8,17.2,74.5,8,16.1,49.8,73.1,1.4,10.2,40.2,23.9,1.2,72.9,1.3,1.7,-0.4,12000000,12,8.272513322973069,3.7274866770269313,10.100000000000001,8.9,111.80000000000001,3.3,0.8223968108675495,1.2269322965466924,0.04733240783299023,0.9428850559423103,0.7942794279427943,0.8888888888888888,0.5423542354235423,0.8294829482948295
Aleksei Miranchuk,2022-2023,26,Torino,it Serie A,ru RUS,0.2,29,2089,23.2,24,5,1,0.2,0.2,0.4,0.2,0,0,0,0.1,1.2,1,4,2089,0,0,0,0,0.5,0.2,0.1,0.2,0.2,0.1,0.5,27.3,0.3,0.5,0,0.5,0.1,0.6,0.2,0,28.7,156.9,70.4,2,1.9,0.3,34.6,4.5,28.1,35.4,79.5,1.9,3.1,1.4,0.3,4.3,444.7,107,14.9,17.1,86.7,9.4,11.3,83.3,2.3,4.3,54,43.5,0.4,2.8,22.7,18.3,1.8,43.5,1,1,0,10000000,10,10.887240828525652,-0.8872408285256519,4.6,6.3,107.6,2.9,-1.4869030311387812,0.0561632650365191,-0.16229037633582438,0.45880866614964333,0.07590759075907591,0.5467546754675467,0.45434543454345433,0.7029702970297029
Antonio Candreva,2022-2023,35,Salernitana,it Serie A,it ITA,-0.2,35,2726,30.3,32,3,0,0.2,0.1,0.4,0.2,0,0,0,0,1.4,1.5,4.5,2726,0.3,0,0,0,0.6,0.2,0.4,0.1,0.1,0.4,1.3,28.9,0.9,0.2,0.1,0.1,0.6,1.1,1.1,0,36.1,188,74.1,2.3,1.7,0.3,42.9,5.6,38.5,52.7,72.9,1.9,3.2,1.8,1,4.5,649.5,227.2,19.9,21.8,91.5,13,17.7,73.3,4.1,9.4,43.5,59.5,1.6,11,25.9,23.4,1.5,59.5,1,1.7,-0.7,1500000,1.5,8.43049609083469,-6.930496090834691,5.6,6.8,111.4,2.9,-1.0670303325921757,0.2813111557115524,0.027368333150245783,0.45880866614964333,0.14521452145214522,0.6391639163916392,0.5313531353135313,0.7029702970297029
Bilal Brahimi,2022-2023,22,Nice,fr Ligue 1,dz ALG,0.3,26,800,8.9,5,21,10,0.3,0.2,0.6,0.3,0,0,0,0.1,1.2,0.9,3.5,800,0.7,0,0,0,0.9,0.6,0.2,0.6,0.1,0.1,0.8,14.3,0.7,0.5,0,0.5,0.5,1.4,0,0,43.3,326.9,152.3,4.6,2.6,1,43.1,11.3,31.5,43.8,72,1.9,1.2,1.7,1.4,1.8,465.6,103.1,16.3,19,85.8,10.7,14.3,74.8,1.9,5.2,37,54.8,0.1,5.1,22.3,28.1,3,54.8,1.6,1.3,0.3,800000,0.8,9.528644529655008,-8.728644529655007,4.9,6.3999999999999995,103.5,3.5,-1.3609412215747994,0.1011928431715256,-0.36692214183395183,1.1849232508386442,0.0924092409240924,0.5643564356435643,0.36303630363036304,0.8767876787678768
Brahim Díaz,2022-2023,22,Milan,it Serie A,ma MAR,0.7,33,1925,21.4,27,6,4,0.3,0.3,0.6,0.3,0,0,0,0.1,1.7,1,4.7,1925,0.1,0,0,0,1.5,0.7,0.2,1,0.2,0.2,0.7,33.3,0.5,0.5,0,0.5,0.3,1.8,0.3,0,32.3,216.1,117.4,3.7,3.2,0.8,35.7,5.4,26.9,33.6,80,1.9,3.7,1.9,0.1,5.7,385.2,115.4,15.4,17.5,87.7,9,10.8,83.5,1.2,2.2,56.5,46.3,0.3,2.9,25.2,19.3,3,46.3,1.6,0.9,0.7,20000000,20,37.6953799921419,-17.695379992141902,6.5,9.4,106.9,3.5,-0.6891449039002308,1.4520801872217257,-0.1972275070306261,1.1849232508386442,0.24752475247524752,0.9163916391639164,0.44334433443344334,0.8767876787678768
Callum Hudson-Odoi,2022-2023,21,2 Teams,2 Comps,eng ENG,-0.1,14,605,6.7,7,7,11,0,0.1,0.1,0,0,0,0,0.2,1.8,1.9,3.9,605,0.3,0,0,0,0.7,0.4,0.6,0,0.1,0.1,0.1,100,0,0,0,0,0.3,1,0.6,0,28.7,239.5,132.8,4.5,3.4,0.9,35.7,6.5,30.6,36.9,83.1,1.9,2.7,1,0.1,4.6,509.8,116.3,17,19,89.1,10,11.6,85.9,3.3,4.5,73.3,42.8,0.9,4.8,21.6,17.4,1.5,42.8,1.5,1.3,0.2,25000000,25,14.35576901344087,10.64423098655913,4.9,9.1,113.69999999999999,3.4,-1.3609412215747994,1.3169914528167055,0.1421617625760239,1.0639041533904772,0.0924092409240924,0.9042904290429042,0.5786578657865786,0.8514851485148515
Christian Günter,2022-2023,29,Freiburg,de Bundesliga,de GER,0.2,33,2748,30.5,31,2,0,0,0.1,0.2,0,0,0,0,0.1,1.5,1.3,4,2748,0.2,0,0,0,0.9,0.7,0.6,0.3,0.1,0.4,1.4,30.2,1,0.7,0.1,0.6,0.5,1.5,1.3,0,23.8,106,46.4,1.4,1.1,0.2,29.1,4.2,32.6,45.9,71.1,1.9,1.8,1.2,0.9,2.5,563.1,202,14.9,17.5,85.4,12.6,16.9,74.5,3.3,7.6,43.7,51.8,1.9,11,22.3,18.9,1.6,51.8,1.4,1.4,0,10000000,10,15.204845425696902,-5.204845425696902,5.5,3.9,103.69999999999999,3.3,-1.1090176024468361,-1.0245466102036407,-0.3569401044925803,0.9428850559423103,0.1397139713971397,0.1331133113311331,0.3696369636963696,0.8294829482948295
Christopher Nkunku,2022-2023,24,RB Leipzig,de Bundesliga,fr FRA,0.8,25,1897,21.1,20,5,0,0.8,0.2,0.9,0.6,0.1,0.2,0,0.1,2.1,1.3,2.8,1897,0.6,0.1,0,0,0.3,0.2,0.1,0,0.1,0,0.3,16.7,0.2,0.4,0.1,0.2,0.4,0.7,0.5,0,27.9,139,58.1,2,1.1,1.1,31.9,8.4,23.6,29.4,80.2,1.9,1.7,1.3,0.1,3.4,351.8,87.9,13.7,15.9,86.3,6.5,7.6,85,2.1,3.1,66.7,40.5,0.8,2.7,16.9,21.3,6.1,40.3,2.1,1.1,1,80000000,80,33.4831646740885,46.5168353259115,3.5,5.4,103.80000000000001,4,-1.948762999540047,-0.3491029381785406,-0.3519490858218931,1.790018738079478,0.020902090209020903,0.40374037403740376,0.37513751375137516,0.9416941694169417
David Costa,2022-2023,21,Lens,fr Ligue 1,pt POR,1,31,1407,15.6,16,15,4,0.1,0.2,0.3,0.1,0,0,0,0.1,1.5,0.5,4.3,1407,0,0.1,0,0,0.8,0.4,0.1,0.6,0.1,0.4,1.2,36.8,0.8,1.2,0.1,1.2,0.7,1.5,0.4,0,49.4,335.8,162.3,3.9,4.7,0.6,47.1,8.5,39.3,48.7,80.8,1.9,4.4,2,0.3,7.5,616.6,172.1,19.9,22.5,88.6,15.3,19,80.5,2.4,3.8,62.7,58,0.3,3.7,28.2,26.8,2.9,58,2,1,1,10000000,10,12.035347508633029,-2.035347508633029,5.8,11.4,120.1,3.9,-0.9830557928828546,2.3526717499218592,0.46158695749993084,1.6689996406313112,0.16721672167216722,0.977997799779978,0.6985698569856986,0.9317931793179318
David Raum,2022-2023,24,RB Leipzig,de Bundesliga,de GER,0.9,28,1685,18.7,19,9,5,0,0.1,0.1,0,0,0,0,0.1,2,1.1,6,1685,0.1,0,0.1,0,2.1,1.3,1.2,0.6,0.2,0.9,1.5,58.6,0.6,1.3,0.3,1,0.9,2.9,1.4,0.1,38.5,165.2,83.5,2.4,1.2,0.5,43.6,6.8,48,63.5,75.5,1.9,2.2,1.4,0.8,3.7,802.4,247.2,24.2,26.9,90.3,18.5,23.3,79.6,4.2,9.5,44.4,73,2.2,19.5,29.2,25.2,1.8,73,1.8,1.1,0.7,26000000,26,30.481790827088492,-4.481790827088492,8.9,6.1,123.5,3.7,0.3185495726116225,-0.033895891233494305,0.6312815923032565,1.426961445734978,0.6160616061606161,0.5137513751375138,0.7447744774477447,0.9108910891089109
